{'sf': 'dile', 'freq': '1529', 'analysis': 'Stem-dat', 'segmentation': 'dil-e', 'ur': 'dil-A', 'predicted_sr': 'dil-A'}
{'sf': 'fɑrklɯlɯklɑrɑ', 'freq': '47', 'analysis': 'Stem-li-lik-pl-dat', 'segmentation': 'fɑrk-lɯ-lɯk-lɑr-ɑ', 'ur': 'fɑrk-lH-lHk-lAr-A', 'predicted_sr': 'fɑrk-lɯ-lɯk-lAr-A'}
{'sf': 'filmleriin', 'freq': '47', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'film-ler-i-in', 'ur': 'film-lAr-H-Hn', 'predicted_sr': 'film-lAr-I-In'}
{'sf': 'formlɑrɯɯn', 'freq': '47', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'form-lɑr-ɯ-ɯn', 'ur': 'form-lAr-H-Hn', 'predicted_sr': 'form-lAr-I-In'}
{'sf': 'gøryntylenen', 'freq': '47', 'analysis': 'Stem-lan-part:pres', 'segmentation': 'gørynty-len-en', 'ur': 'gørynty-lAn-An', 'predicted_sr': 'gørynty-lAn-An'}
{'sf': 'gøryy', 'freq': '47', 'analysis': 'Stem-p3s', 'segmentation': 'gøry-y', 'ur': 'gøry-H', 'predicted_sr': 'gøry-U'}
{'sf': 'gørmeniz', 'freq': '47', 'analysis': 'Stem-vn:inf-p2p', 'segmentation': 'gør-me-niz', 'ur': 'gør-mA-nHz', 'predicted_sr': 'gør-mA-nIz'}
{'sf': 'gøzlenmei', 'freq': '47', 'analysis': 'Stem-lan-vn:inf-p3s', 'segmentation': 'gøz-len-me-i', 'ur': 'gøz-lAn-mA-H', 'predicted_sr': 'gøz-lAn-mA-I'}
{'sf': 'gynleriin', 'freq': '47', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'gyn-ler-i-in', 'ur': 'gyn-lAr-H-Hn', 'predicted_sr': 'gyn-lAr-I-In'}
{'sf': 'gelenekler', 'freq': '47', 'analysis': 'Stem-pl', 'segmentation': 'gelenek-ler', 'ur': 'gelenek-lAr', 'predicted_sr': 'gelenek-lAr'}
{'sf': 'geniʃlikte', 'freq': '47', 'analysis': 'Stem-loc', 'segmentation': 'geniʃlik-te', 'ur': 'geniʃlik-dA', 'predicted_sr': 'geniʃlik-dA'}
{'sf': 'gibiler', 'freq': '47', 'analysis': 'Stem-pl', 'segmentation': 'gibi-ler', 'ur': 'gibi-lAr', 'predicted_sr': 'gibi-lAr'}
{'sf': 'gijen', 'freq': '47', 'analysis': 'Stem-part:pres', 'segmentation': 'gij-en', 'ur': 'gij-An', 'predicted_sr': 'gij-An'}
{'sf': 'hɑmmɑddelerin', 'freq': '47', 'analysis': 'Stem-pl-gen', 'segmentation': 'hɑmmɑdde-ler-in', 'ur': 'hɑmmɑdde-lAr-Hn', 'predicted_sr': 'hɑmmɑdde-lAr-In'}
{'sf': 'ileten', 'freq': '47', 'analysis': 'Stem-part:pres', 'segmentation': 'ilet-en', 'ur': 'ilet-An', 'predicted_sr': 'ilet-An'}
{'sf': 'istɑsjonɑ', 'freq': '47', 'analysis': 'Stem-dat', 'segmentation': 'istɑsjon-ɑ', 'ur': 'istɑsjon-A', 'predicted_sr': 'istɑsjon-A'}
{'sf': 'kyrleʃen', 'freq': '47', 'analysis': 'Stem-las-part:pres', 'segmentation': 'kyr-leʃ-en', 'ur': 'kyr-lAʃ-An', 'predicted_sr': 'kyr-lAʃ-An'}
{'sf': 'kytyphɑnelerin', 'freq': '47', 'analysis': 'Stem-pl-gen', 'segmentation': 'kytyphɑne-ler-in', 'ur': 'kytyphɑne-lAr-Hn', 'predicted_sr': 'kytyphɑne-lAr-In'}
{'sf': 'kɑbulny', 'freq': '47', 'analysis': 'Stem-p2s-acc', 'segmentation': 'kɑbul-n-y', 'ur': 'kɑbul-n-H', 'predicted_sr': 'kɑbul-n-U'}
{'sf': 'kɑdemedeki', 'freq': '47', 'analysis': 'Stem-loc-ki', 'segmentation': 'kɑdeme-de-ki', 'ur': 'kɑdeme-dA-ki', 'predicted_sr': 'kɑdeme-dA-ki'}
{'sf': 'kɑdrouun', 'freq': '47', 'analysis': 'Stem-p3s-gen', 'segmentation': 'kɑdro-u-un', 'ur': 'kɑdro-H-Hn', 'predicted_sr': 'kɑdro-U-Un'}
{'sf': 'kɑhrɑmɑnlɑrɯ', 'freq': '47', 'analysis': 'Stem-pl-p3s', 'segmentation': 'kɑhrɑmɑn-lɑr-ɯ', 'ur': 'kɑhrɑmɑn-lAr-H', 'predicted_sr': 'kɑhrɑmɑn-lAr-I'}
{'sf': 'kɑlemleriin', 'freq': '47', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'kɑlem-ler-i-in', 'ur': 'kɑlem-lAr-H-Hn', 'predicted_sr': 'kɑlem-lAr-I-In'}
{'sf': 'kɑlitedeki', 'freq': '47', 'analysis': 'Stem-loc-ki', 'segmentation': 'kɑlite-de-ki', 'ur': 'kɑlite-dA-ki', 'predicted_sr': 'kɑlite-dA-ki'}
{'sf': 'kɑnɑɑn', 'freq': '47', 'analysis': 'Stem-part:pres', 'segmentation': 'kɑnɑ-ɑn', 'ur': 'kɑnɑ-An', 'predicted_sr': 'kɑnɑ-An'}
{'sf': 'kɑtegorileri', 'freq': '47', 'analysis': 'Stem-pl-p3s', 'segmentation': 'kɑtegori-ler-i', 'ur': 'kɑtegori-lAr-H', 'predicted_sr': 'kɑtegori-lAr-I'}
{'sf': 'kɑjɑlɑrɑ', 'freq': '47', 'analysis': 'Stem-pl-dat', 'segmentation': 'kɑjɑ-lɑr-ɑ', 'ur': 'kɑjɑ-lAr-A', 'predicted_sr': 'kɑjɑ-lAr-A'}
{'sf': 'kɑzɯlɑr', 'freq': '47', 'analysis': 'Stem-pl', 'segmentation': 'kɑzɯ-lɑr', 'ur': 'kɑzɯ-lAr', 'predicted_sr': 'kɑzɯ-lAr'}
{'sf': 'kemerleri', 'freq': '47', 'analysis': 'Stem-pl-p3s', 'segmentation': 'kemer-ler-i', 'ur': 'kemer-lAr-H', 'predicted_sr': 'kemer-lAr-I'}
{'sf': 'koʃullu', 'freq': '47', 'analysis': 'Stem-li', 'segmentation': 'koʃul-lu', 'ur': 'koʃul-lH', 'predicted_sr': 'koʃul-lU'}
{'sf': 'komʃulɑrɯ', 'freq': '47', 'analysis': 'Stem-pl-p3s', 'segmentation': 'komʃu-lɑr-ɯ', 'ur': 'komʃu-lAr-H', 'predicted_sr': 'komʃu-lAr-I'}
{'sf': 'konserde', 'freq': '47', 'analysis': 'Stem-loc', 'segmentation': 'konser-de', 'ur': 'konser-dA', 'predicted_sr': 'konser-dA'}
{'sf': 'konuklɑrɑ', 'freq': '47', 'analysis': 'Stem-pl-dat', 'segmentation': 'konuk-lɑr-ɑ', 'ur': 'konuk-lAr-A', 'predicted_sr': 'konuk-lAr-A'}
{'sf': 'kopjɑlɑmɑ', 'freq': '47', 'analysis': 'Stem-la-vn:inf', 'segmentation': 'kopjɑ-lɑ-mɑ', 'ur': 'kopjɑ-lA-mA', 'predicted_sr': 'kopjɑ-lA-mA'}
{'sf': 'kriterlerin', 'freq': '47', 'analysis': 'Stem-pl-gen', 'segmentation': 'kriter-ler-in', 'ur': 'kriter-lAr-Hn', 'predicted_sr': 'kriter-lAr-In'}
{'sf': 'kurtulup', 'freq': '47', 'analysis': 'Stem-cv:ip', 'segmentation': 'kurtul-up', 'ur': 'kurtul-Hp', 'predicted_sr': 'kurtul-Up'}
{'sf': 'lɑstiklerin', 'freq': '47', 'analysis': 'Stem-pl-gen', 'segmentation': 'lɑstik-ler-in', 'ur': 'lɑstik-lAr-Hn', 'predicted_sr': 'lɑstik-lAr-In'}
{'sf': 'lezjonu', 'freq': '47', 'analysis': 'Stem-p3s', 'segmentation': 'lezjon-u', 'ur': 'lezjon-H', 'predicted_sr': 'lezjon-U'}
{'sf': 'limɑndɑ', 'freq': '47', 'analysis': 'Stem-loc', 'segmentation': 'limɑn-dɑ', 'ur': 'limɑn-dA', 'predicted_sr': 'limɑn-dA'}
{'sf': 'listelerde', 'freq': '47', 'analysis': 'Stem-pl-loc', 'segmentation': 'liste-ler-de', 'ur': 'liste-lAr-dA', 'predicted_sr': 'liste-lAr-dA'}
{'sf': 'mydyrleriin', 'freq': '47', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'mydyr-ler-i-in', 'ur': 'mydyr-lAr-H-Hn', 'predicted_sr': 'mydyr-lAr-I-In'}
{'sf': 'mydɑhɑlee', 'freq': '47', 'analysis': 'Stem-dat', 'segmentation': 'mydɑhɑle-e', 'ur': 'mydɑhɑle-A', 'predicted_sr': 'mydɑhɑle-A'}
{'sf': 'myrɑʤɑɑttɑ', 'freq': '47', 'analysis': 'Stem-loc', 'segmentation': 'myrɑʤɑɑt-tɑ', 'ur': 'myrɑʤɑɑt-dA', 'predicted_sr': 'myrɑʤɑɑt-dA'}
{'sf': 'myzɑkereleri', 'freq': '47', 'analysis': 'Stem-pl-p3s', 'segmentation': 'myzɑkere-ler-i', 'ur': 'myzɑkere-lAr-H', 'predicted_sr': 'myzɑkere-lAr-I'}
{'sf': 'modylɑsjonu', 'freq': '47', 'analysis': 'Stem-p3s', 'segmentation': 'modylɑsjon-u', 'ur': 'modylɑsjon-H', 'predicted_sr': 'modylɑsjon-U'}
{'sf': 'notun', 'freq': '47', 'analysis': 'Stem-gen', 'segmentation': 'not-un', 'ur': 'not-Hn', 'predicted_sr': 'not-Un'}
{'sf': 'oʤɑktɑ', 'freq': '47', 'analysis': 'Stem-loc', 'segmentation': 'oʤɑk-tɑ', 'ur': 'oʤɑk-dA', 'predicted_sr': 'oʤɑk-dA'}
{'sf': 'opsijonlɑrɯn', 'freq': '47', 'analysis': 'Stem-pl-gen', 'segmentation': 'opsijon-lɑr-ɯn', 'ur': 'opsijon-lAr-Hn', 'predicted_sr': 'opsijon-lAr-In'}
{'sf': 'ortɑlɯktɑ', 'freq': '47', 'analysis': 'Stem-loc', 'segmentation': 'ortɑlɯk-tɑ', 'ur': 'ortɑlɯk-dA', 'predicted_sr': 'ortɑlɯk-dA'}
{'sf': 'otobysy', 'freq': '47', 'analysis': 'Stem-p3s', 'segmentation': 'otobys-y', 'ur': 'otobys-H', 'predicted_sr': 'otobys-U'}
{'sf': 'otobyse', 'freq': '47', 'analysis': 'Stem-dat', 'segmentation': 'otobys-e', 'ur': 'otobys-A', 'predicted_sr': 'otobys-A'}
{'sf': 'ojlɑrɯ', 'freq': '47', 'analysis': 'Stem-pl-p3s', 'segmentation': 'oj-lɑr-ɯ', 'ur': 'oj-lAr-H', 'predicted_sr': 'oj-lAr-I'}
{'sf': 'ojunlɑrɑ', 'freq': '47', 'analysis': 'Stem-pl-dat', 'segmentation': 'ojun-lɑr-ɑ', 'ur': 'ojun-lAr-A', 'predicted_sr': 'ojun-lAr-A'}
{'sf': 'pɑrsellerin', 'freq': '47', 'analysis': 'Stem-pl-gen', 'segmentation': 'pɑrsel-ler-in', 'ur': 'pɑrsel-lAr-Hn', 'predicted_sr': 'pɑrsel-lAr-In'}
{'sf': 'pijɑsɑlɑrdɑki', 'freq': '47', 'analysis': 'Stem-pl-loc-ki', 'segmentation': 'pijɑsɑ-lɑr-dɑ-ki', 'ur': 'pijɑsɑ-lAr-dA-ki', 'predicted_sr': 'pijɑsɑ-lAr-dA-ki'}
{'sf': 'pozisjonlɑrɯ', 'freq': '47', 'analysis': 'Stem-pl-p3s', 'segmentation': 'pozisjon-lɑr-ɯ', 'ur': 'pozisjon-lAr-H', 'predicted_sr': 'pozisjon-lAr-I'}
{'sf': 'pulu', 'freq': '47', 'analysis': 'Stem-p3s', 'segmentation': 'pul-u', 'ur': 'pul-H', 'predicted_sr': 'pul-U'}
{'sf': 'reʧetelerin', 'freq': '47', 'analysis': 'Stem-pl-gen', 'segmentation': 'reʧete-ler-in', 'ur': 'reʧete-lAr-Hn', 'predicted_sr': 'reʧete-lAr-In'}
{'sf': 'rekoru', 'freq': '47', 'analysis': 'Stem-p3s', 'segmentation': 'rekor-u', 'ur': 'rekor-H', 'predicted_sr': 'rekor-U'}
{'sf': 'sytunlɑrɯ', 'freq': '47', 'analysis': 'Stem-pl-p3s', 'segmentation': 'sytun-lɑr-ɯ', 'ur': 'sytun-lAr-H', 'predicted_sr': 'sytun-lAr-I'}
{'sf': 'sɑʧɑn', 'freq': '47', 'analysis': 'Stem-part:pres', 'segmentation': 'sɑʧ-ɑn', 'ur': 'sɑʧ-An', 'predicted_sr': 'sɑʧ-An'}
{'sf': 'sɑrkɑn', 'freq': '47', 'analysis': 'Stem-part:pres', 'segmentation': 'sɑrk-ɑn', 'ur': 'sɑrk-An', 'predicted_sr': 'sɑrk-An'}
{'sf': 'sɑjɑrɑk', 'freq': '47', 'analysis': 'Stem-cv:erek', 'segmentation': 'sɑj-ɑrɑk', 'ur': 'sɑj-ArAk', 'predicted_sr': 'sɑj-ArAk'}
{'sf': 'senɑtoun', 'freq': '47', 'analysis': 'Stem-gen', 'segmentation': 'senɑto-un', 'ur': 'senɑto-Hn', 'predicted_sr': 'senɑto-Un'}
{'sf': 'sijɑsiler', 'freq': '47', 'analysis': 'Stem-pl', 'segmentation': 'sijɑsi-ler', 'ur': 'sijɑsi-lAr', 'predicted_sr': 'sijɑsi-lAr'}
{'sf': 'skorlɑrɯ', 'freq': '47', 'analysis': 'Stem-pl-p3s', 'segmentation': 'skor-lɑr-ɯ', 'ur': 'skor-lAr-H', 'predicted_sr': 'skor-lAr-I'}
{'sf': 'sokulɑn', 'freq': '47', 'analysis': 'Stem-part:pres', 'segmentation': 'sokul-ɑn', 'ur': 'sokul-An', 'predicted_sr': 'sokul-An'}
{'sf': 'tɑhlilleri', 'freq': '47', 'analysis': 'Stem-pl-p3s', 'segmentation': 'tɑhlil-ler-i', 'ur': 'tɑhlil-lAr-H', 'predicted_sr': 'tɑhlil-lAr-I'}
{'sf': 'tɑkɯmlɑrɯn', 'freq': '47', 'analysis': 'Stem-pl-gen', 'segmentation': 'tɑkɯm-lɑr-ɯn', 'ur': 'tɑkɯm-lAr-Hn', 'predicted_sr': 'tɑkɯm-lAr-In'}
{'sf': 'tɑnɯʃmɑ', 'freq': '47', 'analysis': 'Stem-vn:inf', 'segmentation': 'tɑnɯʃ-mɑ', 'ur': 'tɑnɯʃ-mA', 'predicted_sr': 'tɑnɯʃ-mA'}
{'sf': 'tɑnklɑrɯ', 'freq': '47', 'analysis': 'Stem-pl-p3s', 'segmentation': 'tɑnk-lɑr-ɯ', 'ur': 'tɑnk-lAr-H', 'predicted_sr': 'tɑnk-lAr-I'}
{'sf': 'topluluklɑrɯn', 'freq': '47', 'analysis': 'Stem-pl-gen', 'segmentation': 'topluluk-lɑr-ɯn', 'ur': 'topluluk-lAr-Hn', 'predicted_sr': 'topluluk-lAr-In'}
{'sf': 'turlu', 'freq': '47', 'analysis': 'Stem-li', 'segmentation': 'tur-lu', 'ur': 'tur-lH', 'predicted_sr': 'tur-lU'}
{'sf': 'uzɑɑn', 'freq': '47', 'analysis': 'Stem-part:pres', 'segmentation': 'uzɑ-ɑn', 'ur': 'uzɑ-An', 'predicted_sr': 'uzɑ-An'}
{'sf': 'vereʤekler', 'freq': '47', 'analysis': 'Stem-vn:fut-pl', 'segmentation': 'ver-eʤek-ler', 'ur': 'ver-AʤAk-lAr', 'predicted_sr': 'ver-AʤAk-lAr'}
{'sf': 'jykseldikʧe', 'freq': '47', 'analysis': 'Stem-cv:dikce', 'segmentation': 'jyksel-dikʧe', 'ur': 'jyksel-dHkʧA', 'predicted_sr': 'jyksel-dikʧA'}
{'sf': 'jyrytmete', 'freq': '47', 'analysis': 'Stem-vn:inf-loc', 'segmentation': 'jyryt-me-te', 'ur': 'jyryt-mA-dA', 'predicted_sr': 'jyryt-mA-dA'}
{'sf': 'jɑnmɑɑ', 'freq': '47', 'analysis': 'Stem-vn:inf-dat', 'segmentation': 'jɑn-mɑ-ɑ', 'ur': 'jɑn-mA-A', 'predicted_sr': 'jɑn-mA-A'}
{'sf': 'jolsuzluklɑrɯn', 'freq': '47', 'analysis': 'Stem-lik-pl-gen', 'segmentation': 'jolsuz-luk-lɑr-ɯn', 'ur': 'jolsuz-lHk-lAr-Hn', 'predicted_sr': 'jolsuz-lUk-lAr-In'}
{'sf': 'zeminler', 'freq': '47', 'analysis': 'Stem-pl', 'segmentation': 'zemin-ler', 'ur': 'zemin-lAr', 'predicted_sr': 'zemin-lAr'}
{'sf': 'zijɑretʧileri', 'freq': '47', 'analysis': 'Stem-ci-p3p', 'segmentation': 'zijɑret-ʧi-leri', 'ur': 'zijɑret-ʧH-lArH', 'predicted_sr': 'zijɑret-ʧi-lArI'}
{'sf': 'ʧøkyʃ', 'freq': '46', 'analysis': 'Stem-vn:yis', 'segmentation': 'ʧøk-yʃ', 'ur': 'ʧøk-Hʃ', 'predicted_sr': 'ʧøk-Uʃ'}
{'sf': 'ʧøzymlemei', 'freq': '46', 'analysis': 'Stem-la-vn:inf-p3s', 'segmentation': 'ʧøzym-le-me-i', 'ur': 'ʧøzym-lA-mA-H', 'predicted_sr': 'ʧøzym-lA-mA-I'}
{'sf': 'ʧɑlɯʃmɑnɯz', 'freq': '46', 'analysis': 'Stem-vn:inf-p2p', 'segmentation': 'ʧɑlɯʃ-mɑ-nɯz', 'ur': 'ʧɑlɯʃ-mA-nHz', 'predicted_sr': 'ʧɑlɯʃ-mA-nIz'}
{'sf': 'ʧɑplɑrɯ', 'freq': '46', 'analysis': 'Stem-pl-p3s', 'segmentation': 'ʧɑp-lɑr-ɯ', 'ur': 'ʧɑp-lAr-H', 'predicted_sr': 'ʧɑp-lAr-I'}
{'sf': 'ʧekmete', 'freq': '46', 'analysis': 'Stem-vn:inf-loc', 'segmentation': 'ʧek-me-te', 'ur': 'ʧek-mA-dA', 'predicted_sr': 'ʧek-mA-dA'}
{'sf': 'ʧektikleri', 'freq': '46', 'analysis': 'Stem-part:past-p3p', 'segmentation': 'ʧek-tik-leri', 'ur': 'ʧek-dHk-lArH', 'predicted_sr': 'ʧek-dik-lArI'}
{'sf': 'ølynʤee', 'freq': '46', 'analysis': 'Stem-cv:ince-dat', 'segmentation': 'øl-ynʤe-e', 'ur': 'øl-HnʤA-A', 'predicted_sr': 'øl-UnʤA-A'}
{'sf': 'ønlemein', 'freq': '46', 'analysis': 'Stem-vn:inf-gen', 'segmentation': 'ønle-me-in', 'ur': 'ønle-mA-Hn', 'predicted_sr': 'ønle-mA-In'}
{'sf': 'ʃɑrtɑ', 'freq': '46', 'analysis': 'Stem-dat', 'segmentation': 'ʃɑrt-ɑ', 'ur': 'ʃɑrt-A', 'predicted_sr': 'ʃɑrt-A'}
{'sf': 'ɑʧmɑtɑ', 'freq': '46', 'analysis': 'Stem-vn:inf-loc', 'segmentation': 'ɑʧ-mɑ-tɑ', 'ur': 'ɑʧ-mA-dA', 'predicted_sr': 'ɑʧ-mA-dA'}
{'sf': 'ɑɰɯzdɑ', 'freq': '46', 'analysis': 'Stem-loc', 'segmentation': 'ɑɰɯz-dɑ', 'ur': 'ɑɰɯz-dA', 'predicted_sr': 'ɑɰɯz-dA'}
{'sf': 'ɑkmɑn', 'freq': '46', 'analysis': 'Stem-vn:inf-p2s', 'segmentation': 'ɑk-mɑ-n', 'ur': 'ɑk-mA-n', 'predicted_sr': 'ɑk-mA-n'}
{'sf': 'ɑlɯʃveriʃlerde', 'freq': '46', 'analysis': 'Stem-pl-loc', 'segmentation': 'ɑlɯʃveriʃ-ler-de', 'ur': 'ɑlɯʃveriʃ-lAr-dA', 'predicted_sr': 'ɑlɯʃveriʃ-lAr-dA'}
{'sf': 'ɑmirler', 'freq': '46', 'analysis': 'Stem-pl', 'segmentation': 'ɑmir-ler', 'ur': 'ɑmir-lAr', 'predicted_sr': 'ɑmir-lAr'}
{'sf': 'ɑnɑdilde', 'freq': '46', 'analysis': 'Stem-loc', 'segmentation': 'ɑnɑdil-de', 'ur': 'ɑnɑdil-dA', 'predicted_sr': 'ɑnɑdil-dA'}
{'sf': 'ɑnɑhtɑrlɑr', 'freq': '46', 'analysis': 'Stem-pl', 'segmentation': 'ɑnɑhtɑr-lɑr', 'ur': 'ɑnɑhtɑr-lAr', 'predicted_sr': 'ɑnɑhtɑr-lAr'}
{'sf': 'ɑrɑbɑdɑn', 'freq': '46', 'analysis': 'Stem-abl', 'segmentation': 'ɑrɑbɑ-dɑn', 'ur': 'ɑrɑbɑ-dAn', 'predicted_sr': 'ɑrɑbɑ-dAn'}
{'sf': 'ɑrsɑlɑrɯn', 'freq': '46', 'analysis': 'Stem-pl-gen', 'segmentation': 'ɑrsɑ-lɑr-ɯn', 'ur': 'ɑrsɑ-lAr-Hn', 'predicted_sr': 'ɑrsɑ-lAr-In'}
{'sf': 'ɑjɑklɑrɯɯn', 'freq': '46', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'ɑjɑk-lɑr-ɯ-ɯn', 'ur': 'ɑjɑk-lAr-H-Hn', 'predicted_sr': 'ɑjɑk-lAr-I-In'}
{'sf': 'ɑjɑrlɑrɯɯn', 'freq': '46', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'ɑjɑr-lɑr-ɯ-ɯn', 'ur': 'ɑjɑr-lAr-H-Hn', 'predicted_sr': 'ɑjɑr-lAr-I-In'}
{'sf': 'ɑjlɑrɑ', 'freq': '46', 'analysis': 'Stem-pl-dat', 'segmentation': 'ɑj-lɑr-ɑ', 'ur': 'ɑj-lAr-A', 'predicted_sr': 'ɑj-lAr-A'}
{'sf': 'ɑzɯnlɯklɑrɯn', 'freq': '46', 'analysis': 'Stem-pl-gen', 'segmentation': 'ɑzɯnlɯk-lɑr-ɯn', 'ur': 'ɑzɯnlɯk-lAr-Hn', 'predicted_sr': 'ɑzɯnlɯk-lAr-In'}
{'sf': 'bølme', 'freq': '46', 'analysis': 'Stem-vn:inf', 'segmentation': 'bøl-me', 'ur': 'bøl-mA', 'predicted_sr': 'bøl-mA'}
{'sf': 'bɑʃlɯktɑ', 'freq': '46', 'analysis': 'Stem-loc', 'segmentation': 'bɑʃlɯk-tɑ', 'ur': 'bɑʃlɯk-dA', 'predicted_sr': 'bɑʃlɯk-dA'}
{'sf': 'bɑnjoɑ', 'freq': '46', 'analysis': 'Stem-dat', 'segmentation': 'bɑnjo-ɑ', 'ur': 'bɑnjo-A', 'predicted_sr': 'bɑnjo-A'}
{'sf': 'bɑjlɑr', 'freq': '46', 'analysis': 'Stem-pl', 'segmentation': 'bɑj-lɑr', 'ur': 'bɑj-lAr', 'predicted_sr': 'bɑj-lAr'}
{'sf': 'birikimleri', 'freq': '46', 'analysis': 'Stem-pl-p3s', 'segmentation': 'birikim-ler-i', 'ur': 'birikim-lAr-H', 'predicted_sr': 'birikim-lAr-I'}
{'sf': 'bojdɑ', 'freq': '46', 'analysis': 'Stem-loc', 'segmentation': 'boj-dɑ', 'ur': 'boj-dA', 'predicted_sr': 'boj-dA'}
{'sf': 'buluʃlɑr', 'freq': '46', 'analysis': 'Stem-vn:yis-pl', 'segmentation': 'bul-uʃ-lɑr', 'ur': 'bul-Hʃ-lAr', 'predicted_sr': 'bul-Uʃ-lAr'}
{'sf': 'burundɑ', 'freq': '46', 'analysis': 'Stem-loc', 'segmentation': 'burun-dɑ', 'ur': 'burun-dA', 'predicted_sr': 'burun-dA'}
{'sf': 'ʤemijetler', 'freq': '46', 'analysis': 'Stem-pl', 'segmentation': 'ʤemijet-ler', 'ur': 'ʤemijet-lAr', 'predicted_sr': 'ʤemijet-lAr'}
{'sf': 'ʤihɑzlɑrdɑ', 'freq': '46', 'analysis': 'Stem-pl-loc', 'segmentation': 'ʤihɑz-lɑr-dɑ', 'ur': 'ʤihɑz-lAr-dA', 'predicted_sr': 'ʤihɑz-lAr-dA'}
{'sf': 'ʤinsijete', 'freq': '46', 'analysis': 'Stem-dat', 'segmentation': 'ʤinsijet-e', 'ur': 'ʤinsijet-A', 'predicted_sr': 'ʤinsijet-A'}
{'sf': 'dyʃmɑnlɑrɯ', 'freq': '46', 'analysis': 'Stem-pl-p3s', 'segmentation': 'dyʃmɑn-lɑr-ɯ', 'ur': 'dyʃmɑn-lAr-H', 'predicted_sr': 'dyʃmɑn-lAr-I'}
{'sf': 'dykkɑnlɑrɯ', 'freq': '46', 'analysis': 'Stem-pl-p3s', 'segmentation': 'dykkɑn-lɑr-ɯ', 'ur': 'dykkɑn-lAr-H', 'predicted_sr': 'dykkɑn-lAr-I'}
{'sf': 'dyzeltmee', 'freq': '46', 'analysis': 'Stem-vn:inf-dat', 'segmentation': 'dyzelt-me-e', 'ur': 'dyzelt-mA-A', 'predicted_sr': 'dyzelt-mA-A'}
{'sf': 'deɰiʃiklikleriin', 'freq': '46', 'analysis': 'Stem-lik-pl-p3s-gen', 'segmentation': 'deɰiʃik-lik-ler-i-in', 'ur': 'deɰiʃik-lHk-lAr-H-Hn', 'predicted_sr': 'deɰiʃik-lik-lAr-I-In'}
{'sf': 'dengee', 'freq': '46', 'analysis': 'Stem-dat', 'segmentation': 'denge-e', 'ur': 'denge-A', 'predicted_sr': 'denge-A'}
{'sf': 'dileen', 'freq': '46', 'analysis': 'Stem-part:pres', 'segmentation': 'dile-en', 'ur': 'dile-An', 'predicted_sr': 'dile-An'}
{'sf': 'doɰup', 'freq': '46', 'analysis': 'Stem-cv:ip', 'segmentation': 'doɰ-up', 'ur': 'doɰ-Hp', 'predicted_sr': 'doɰ-Up'}
{'sf': 'dosjɑlɑrnɯzɯ', 'freq': '46', 'analysis': 'Stem-pl-p2p-acc', 'segmentation': 'dosjɑ-lɑr-nɯz-ɯ', 'ur': 'dosjɑ-lAr-nHz-H', 'predicted_sr': 'dosjɑ-lAr-nIz-I'}
{'sf': 'dozɑ', 'freq': '46', 'analysis': 'Stem-dat', 'segmentation': 'doz-ɑ', 'ur': 'doz-A', 'predicted_sr': 'doz-A'}
{'sf': 'durumlɑrdɑn', 'freq': '46', 'analysis': 'Stem-pl-abl', 'segmentation': 'durum-lɑr-dɑn', 'ur': 'durum-lAr-dAn', 'predicted_sr': 'durum-lAr-dAn'}
{'sf': 'eleʃtirilere', 'freq': '46', 'analysis': 'Stem-pl-dat', 'segmentation': 'eleʃtiri-ler-e', 'ur': 'eleʃtiri-lAr-A', 'predicted_sr': 'eleʃtiri-lAr-A'}
{'sf': 'enstityler', 'freq': '46', 'analysis': 'Stem-pl', 'segmentation': 'enstity-ler', 'ur': 'enstity-lAr', 'predicted_sr': 'enstity-lAr'}
{'sf': 'enstitymyz', 'freq': '46', 'analysis': 'Stem-p1p', 'segmentation': 'enstity-myz', 'ur': 'enstity-mHz', 'predicted_sr': 'enstity-mUz'}
{'sf': 'erozjonɑ', 'freq': '46', 'analysis': 'Stem-dat', 'segmentation': 'erozjon-ɑ', 'ur': 'erozjon-A', 'predicted_sr': 'erozjon-A'}
{'sf': 'eserlere', 'freq': '46', 'analysis': 'Stem-pl-dat', 'segmentation': 'eser-ler-e', 'ur': 'eser-lAr-A', 'predicted_sr': 'eser-lAr-A'}
{'sf': 'fɑbrikɑlɑrɯɯn', 'freq': '46', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'fɑbrikɑ-lɑr-ɯ-ɯn', 'ur': 'fɑbrikɑ-lAr-H-Hn', 'predicted_sr': 'fɑbrikɑ-lAr-I-In'}
{'sf': 'fɑizlerin', 'freq': '46', 'analysis': 'Stem-pl-gen', 'segmentation': 'fɑiz-ler-in', 'ur': 'fɑiz-lAr-Hn', 'predicted_sr': 'fɑiz-lAr-In'}
{'sf': 'fɑktøryyn', 'freq': '46', 'analysis': 'Stem-p3s-gen', 'segmentation': 'fɑktør-y-yn', 'ur': 'fɑktør-H-Hn', 'predicted_sr': 'fɑktør-U-Un'}
